Country	AB	EF	KP	PA	SA	SUM
Australia	7	0	0	0	0	7
Taiwan	2	0	0	0	0	2
Germany	2	0	0	0	1	3
Ghana	0	0	0	0	1	1
Belgium	0	0	0	0	1	1
Switzerland	0	0	0	0	2	2
Mexico	1	0	0	0	0	1
Czech_Republic	1	0	0	0	0	1
-	8	0	0	0	16	24
Canada	0	0	0	0	1	1
Thailand	1	0	0	0	1	2
USA	12	0	0	0	12	24
China	2	0	0	0	7	9
Netherlands	0	0	0	0	4	4
South_Korea	1	0	0	0	0	1
Japan	3	0	0	0	0	3
France	0	0	0	0	1	1
Singapore	2	0	0	0	0	2
Guatemala	0	0	0	0	1	1
Peru	1	0	0	0	0	1
Malaysia	2	0	0	0	0	2
Ireland	0	0	0	0	2	2
Saudi_Arabia	1	0	0	0	0	1
United_Kingdom	0	0	1	0	2	3
Austria	0	0	0	0	1	1
